"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1,537802045E0;-1,048099995E-2;1,417099964E-2;-2,977900021E-2
1,547488790E0;-1,048099995E-2;1,417099964E-2;-2,977900021E-2
1,557174713E0;-2,240700088E-2;1,627999917E-2;-2,477999963E-2
1,566861535E0;-2,240700088E-2;1,627999917E-2;-2,477999963E-2
1,576548997E0;-2,032200061E-2;3,138799965E-2;-3,478199989E-2
1,586235775E0;-2,032200061E-2;3,138799965E-2;-3,478199989E-2
1,595921698E0;-5,441999994E-3;9,468000382E-3;-3,177300096E-2
1,605608453E0;-5,441999994E-3;9,468000382E-3;-3,177300096E-2
1,615295915E0;-1,058499981E-2;1,657599956E-2;-2,676199935E-2
1,624982650E0;-1,058499981E-2;1,657599956E-2;-2,676199935E-2
1,634668496E0;-2,553699911E-2;-3,279999946E-4;-2,676299959E-2
1,644355367E0;-2,553699911E-2;-3,279999946E-4;-2,676299959E-2
1,654042828E0;-1,346599963E-2;9,813999757E-3;-1,276300009E-2
1,663729631E0;-1,346599963E-2;9,813999757E-3;-1,276300009E-2
1,673415555E0;-8,608999662E-3;1,496700011E-2;-2,975199930E-2
1,683102343E0;-8,608999662E-3;1,496700011E-2;-2,975199930E-2
1,692789881E0;-2,076900005E-2;1,211799961E-2;-3,473899886E-2
1,702476583E0;-2,076900005E-2;1,211799961E-2;-3,473899886E-2
1,712162506E0;-2,076900005E-2;1,211799961E-2;-3,473899886E-2
1,721849309E0;-1,079500001E-2;1,544499956E-2;-3,172900155E-2
1,731536842E0;-1,079500001E-2;1,544499956E-2;-3,172900155E-2
1,741223535E0;-1,595900021E-2;2,057800069E-2;-4,371700063E-2
1,750909526E0;-1,595900021E-2;2,057800069E-2;-4,371700063E-2
1,760596218E0;-1,611999981E-2;2,071199939E-2;-3,470500186E-2
1,770283733E0;-1,611999981E-2;2,071199939E-2;-3,470500186E-2
1,779970425E0;-2,108200081E-2;1,782700047E-2;-2,470399998E-2
1,789656449E0;-2,108200081E-2;1,782700047E-2;-2,470399998E-2
1,799343141E0;-2,102600038E-2;1,594799943E-2;-2,670400031E-2
1,809030708E0;-2,102600038E-2;1,594799943E-2;-2,670400031E-2
1,818717400E0;-2,096500061E-2;3,005800024E-2;-3,470500186E-2
1,828403362E0;-2,096500061E-2;3,005800024E-2;-3,470500186E-2
1,838090055E0;-1,089499984E-2;2,135000005E-2;-3,670100123E-2
1,847777617E0;-1,089499984E-2;2,135000005E-2;-3,670100123E-2
1,857464386E0;-2,983899973E-2;2,142900042E-2;-3,670300171E-2
1,867150314E0;-2,983899973E-2;2,142900042E-2;-3,670300171E-2
1,876837007E0;-1,775800064E-2;2,550400048E-2;-3,470500186E-2
1,886524540E0;-1,775800064E-2;2,550400048E-2;-3,470500186E-2
1,896211309E0;-1,088599954E-2;1,156499982E-2;-3,169599921E-2
1,905897213E0;-1,088599954E-2;1,156499982E-2;-3,169599921E-2
1,915583905E0;-1,082199998E-2;2,164099924E-2;-3,469799832E-2
1,925271472E0;-1,082199998E-2;2,164099924E-2;-3,469799832E-2
1,934958165E0;-2,797899954E-2;2,171099931E-2;-4,668800160E-2
1,944644146E0;-2,797899954E-2;2,171099931E-2;-4,668800160E-2
1,954330838E0;-2,090300061E-2;2,599599957E-2;-3,168499842E-2
1,964018391E0;-2,090300061E-2;2,599599957E-2;-3,168499842E-2
1,973705160E0;-2,582100034E-2;2,406200022E-2;-3,468799964E-2
1,983391088E0;-2,582100034E-2;2,406200022E-2;-3,468799964E-2
1,993077780E0;-2,093699947E-2;2,411000058E-2;-3,468000144E-2
2,002765324E0;-2,093699947E-2;2,411000058E-2;-3,468000144E-2
2,012452093E0;-2,093699947E-2;2,411000058E-2;-3,468000144E-2
2,022138002E0;-1,623200066E-2;1,733200066E-2;-2,965800092E-2
2,031824794E0;-1,623200066E-2;1,733200066E-2;-2,965800092E-2
2,041512256E0;-1,813600026E-2;1,436599996E-2;-4,166299850E-2
2,051199054E0;-1,813600026E-2;1,436599996E-2;-4,166299850E-2
2,060884977E0;-1,425100025E-2;2,241300046E-2;-4,365500063E-2
2,070571761E0;-1,425100025E-2;2,241300046E-2;-4,365500063E-2
2,080259223E0;-1,837899908E-2;2,245699987E-2;-3,464699909E-2
2,089945977E0;-1,837899908E-2;2,245699987E-2;-3,464699909E-2
2,099631900E0;-1,429999992E-2;1,749599911E-2;-3,465000167E-2
2,109318646E0;-1,429999992E-2;1,749599911E-2;-3,465000167E-2
2,119006184E0;-2,122399956E-2;1,455400046E-2;-2,965299971E-2
2,128692891E0;-2,122399956E-2;1,455400046E-2;-2,965299971E-2
2,138378815E0;-1,835400052E-2;2,261099964E-2;-2,664400078E-2
2,148065579E0;-1,835400052E-2;2,261099964E-2;-2,664400078E-2
2,157753117E0;-2,127699926E-2;1,766300015E-2;-3,664699942E-2
2,167439723E0;-2,127699926E-2;1,766300015E-2;-3,664699942E-2
2,177125728E0;-1,840200089E-2;1,472000033E-2;-3,163899854E-2
2,186812497E0;-1,840200089E-2;1,472000033E-2;-3,163899854E-2
2,196500035E0;-1,631999947E-2;1,778499968E-2;-4,164199904E-2
2,206186713E0;-1,631999947E-2;1,778499968E-2;-4,164199904E-2
2,215872713E0;-1,424300019E-2;1,785399951E-2;-3,464499861E-2
2,225559410E0;-1,424300019E-2;1,785399951E-2;-3,464499861E-2
2,235246872E0;-1,437599957E-2;1,493700035E-2;-3,463499993E-2
2,244933626E0;-1,437599957E-2;1,493700035E-2;-3,463499993E-2
2,254619549E0;-4,531500116E-2;2,301600017E-2;-3,163599968E-2
2,264306309E0;-4,531500116E-2;2,301600017E-2;-3,163599968E-2
2,273993848E0;8,050000179E-4;2,509699948E-2;-3,164099902E-2
2,283680511E0;8,050000179E-4;2,509699948E-2;-3,164099902E-2
2,293366511E0;-1,611199975E-2;2,516500093E-2;-3,864400089E-2
2,303053174E0;-1,611199975E-2;2,516500093E-2;-3,864400089E-2
2,312740713E0;-1,611199975E-2;2,516500093E-2;-3,864400089E-2
2,322427386E0;-1,812399924E-2;2,337799966E-2;-3,163800016E-2
2,332113357E0;-1,812399924E-2;2,337799966E-2;-3,163800016E-2
2,341800050E0;-2,603200078E-2;2,041300014E-2;-3,164200112E-2
2,351487573E0;-2,603200078E-2;2,041300014E-2;-3,164200112E-2
2,361174265E0;-6,347999908E-3;2,064800076E-2;-4,361899942E-2
2,370860260E0;-6,347999908E-3;2,064800076E-2;-4,361899942E-2
2,380546953E0;-1,827299967E-2;2,768900059E-2;-3,162200004E-2
2,390234501E0;-1,827299967E-2;2,768900059E-2;-3,162200004E-2
2,399921271E0;-1,120099984E-2;2,770699933E-2;-3,662500158E-2
2,409607204E0;-1,120099984E-2;2,770699933E-2;-3,662500158E-2
2,419293896E0;-2,113699913E-2;1,872700080E-2;-3,462899849E-2
2,428981438E0;-2,113699913E-2;1,872700080E-2;-3,462899849E-2
2,438668208E0;-2,127799951E-2;1,874200068E-2;-3,861999884E-2
2,448354122E0;-2,127799951E-2;1,874200068E-2;-3,861999884E-2
2,458040814E0;-1,820600033E-2;1,576299965E-2;-3,162400052E-2
2,467728252E0;-1,820600033E-2;1,576299965E-2;-3,162400052E-2
2,477415098E0;-2,113300003E-2;1,879799925E-2;-2,662700042E-2
2,487101030E0;-2,113300003E-2;1,879799925E-2;-2,662700042E-2
2,496787799E0;-2,105299942E-2;2,583700046E-2;-3,463099897E-2
2,506475256E0;-2,105299942E-2;2,583700046E-2;-3,463099897E-2
2,516162025E0;-1,796199940E-2;1,887699962E-2;-3,463499993E-2
2,525847953E0;-1,796199940E-2;1,887699962E-2;-3,463499993E-2
2,535534645E0;-1,787699945E-2;2,091100067E-2;-2,963799983E-2
2,545222189E0;-1,787699945E-2;2,091100067E-2;-2,963799983E-2
2,554908881E0;-2,079300024E-2;2,394600026E-2;-3,164200112E-2
2,564594910E0;-2,079300024E-2;2,394600026E-2;-3,164200112E-2
2,574281603E0;-2,591199987E-2;2,597500011E-2;-3,463499993E-2
2,583969131E0;-2,591199987E-2;2,597500011E-2;-3,463499993E-2
2,593655900E0;-2,281000093E-2;2,099199966E-2;-3,463999927E-2
2,603341851E0;-2,281000093E-2;2,099199966E-2;-3,463999927E-2
2,613028621E0;-2,570099942E-2;2,401099913E-2;-3,864600137E-2
2,622716101E0;-2,570099942E-2;2,401099913E-2;-3,864600137E-2
2,632402861E0;-2,570099942E-2;2,401099913E-2;-3,864600137E-2
2,642088784E0;-2,997200005E-2;2,421200089E-2;-2,662499994E-2
2,651775587E0;-2,997200005E-2;2,421200089E-2;-2,662499994E-2
2,661463048E0;-2,102299966E-2;3,620800003E-2;-2,962299995E-2
2,671149832E0;-2,102299966E-2;3,620800003E-2;-2,962299995E-2
2,680835755E0;-3,287100047E-2;2,817800082E-2;-3,663200140E-2
2,690522515E0;-3,287100047E-2;2,817800082E-2;-3,663200140E-2
2,700210054E0;-2,069799975E-2;2,414100058E-2;-3,164200112E-2
2,709896746E0;-2,069799975E-2;2,414100058E-2;-3,164200112E-2
2,719582669E0;-2,253199928E-2;2,110699937E-2;-4,165299982E-2
2,729269452E0;-2,253199928E-2;2,110699937E-2;-4,165299982E-2
2,738956991E0;-1,736800000E-2;2,108200081E-2;-4,166299850E-2
2,748643702E0;-1,736800000E-2;2,108200081E-2;-4,166299850E-2
2,758329702E0;-2,021699958E-2;1,906500012E-2;-2,667099983E-2
2,768016334E0;-2,021699958E-2;1,906500012E-2;-2,667099983E-2
2,777703939E0;-2,027699910E-2;2,405899949E-2;-3,166799992E-2
2,787390631E0;-2,027699910E-2;2,405899949E-2;-3,166799992E-2
2,797076650E0;-1,312899962E-2;1,405899972E-2;-3,867600113E-2
2,806763348E0;-1,312899962E-2;1,405899972E-2;-3,867600113E-2
2,816450886E0;-2,500299923E-2;2,127600089E-2;-3,467800096E-2
2,826137592E0;-2,500299923E-2;2,127600089E-2;-3,467800096E-2
2,835823592E0;-1,986999996E-2;2,428999916E-2;-3,468500078E-2
2,845510271E0;-1,986999996E-2;2,428999916E-2;-3,468500078E-2
2,855197732E0;-1,973900013E-2;2,129900083E-2;-3,869200125E-2
2,864884516E0;-1,973900013E-2;2,129900083E-2;-3,869200125E-2
2,874570439E0;-2,161199972E-2;1,431200001E-2;-3,869900107E-2
2,884257223E0;-2,161199972E-2;1,431200001E-2;-3,869900107E-2
2,893944761E0;-7,482999936E-3;2,433899976E-2;-3,170499951E-2
2,903631406E0;-7,482999936E-3;2,433899976E-2;-3,170499951E-2
2,913317406E0;-1,658499986E-2;2,637699991E-2;-2,669899911E-2
2,923004098E0;-1,658499986E-2;2,637699991E-2;-2,669899911E-2
2,932691632E0;-1,658499986E-2;2,637699991E-2;-2,669899911E-2
2,942378324E0;-1,957499981E-2;2,455800027E-2;-3,169500083E-2
2,952064329E0;-1,957499981E-2;2,455800027E-2;-3,169500083E-2
2,961751021E0;-1,946499944E-2;1,954899915E-2;-2,270100079E-2
2,971438569E0;-1,946499944E-2;1,954899915E-2;-2,270100079E-2
2,981125338E0;-2,349999966E-3;1,955999993E-2;-2,670699917E-2
2,990811251E0;-2,349999966E-3;1,955999993E-2;-2,670699917E-2
3,000497943E0;-2,127300017E-2;1,956599951E-2;-3,471200168E-2
3,010185468E0;-2,127300017E-2;1,956599951E-2;-3,471200168E-2
3,019872237E0;-2,418999933E-2;1,957900077E-2;-4,371599853E-2
3,029558126E0;-2,418999933E-2;1,957900077E-2;-4,371599853E-2
3,039244819E0;-1,909499988E-2;2,459499985E-2;-3,672099859E-2
3,048932332E0;-1,909499988E-2;2,459499985E-2;-3,672099859E-2
3,058619101E0;-1,600099914E-2;2,460899949E-2;-4,872599989E-2
